"Source.Name","Opening_text","stim_ending_t","visbility","soundvolume","modalityBlock.thisRepN","modalityBlock.thisTrialN","modalityBlock.thisN","modalityBlock.thisIndex","TrialsStudy.thisRepN","TrialsStudy.thisTrialN","TrialsStudy.thisN","TrialsStudy.thisIndex","text.started","text.stopped","keyWelcome.keys","keyWelcome.rt","keyWelcome.started","keyWelcome.stopped","imageInstr.started","imageInstr.stopped","key_resp.keys","key_resp.rt","key_resp.started","key_resp.stopped","FixationCross.started","FixationCross.stopped","modalityInstr.started","modalityInstr.stopped","modalityFocusKey.keys","modalityFocusKey.rt","modalityFocusKey.started","modalityFocusKey.stopped","StudyVisualStim.started","StudyVisualStim.stopped","StudyAuditoryStim.started","StudyAuditoryStim.stopped","text_2.started","text_2.stopped","key_resp_3.keys","key_resp_3.rt","key_resp_3.started","key_resp_3.stopped","ReproductionVisual.started","ReproductionVisual.stopped","key_resp_2.keys","key_resp_2.rt","key_resp_2.started","key_resp_2.stopped","ReproductionSound.started","ReproductionSound.stopped","participant","session","date","expName","psychopyVersion","frameRate"
"001_visual_demo1.csv","Now focus on the Image",2.5,1,0,0,0,0,0,1,17,35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.8444936,"None",NA,NA,NA,NA,NA,NA,467.0460922,"None",467.0460922,"None",470.5008778,"None","space",0.573755954,470.5008778,"None",471.0920245,"None","space",2.736620182,471.0920245,"None",471.0920245,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1.5,0,1,0,0,0,0,2,0,36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.7298558,"None",NA,NA,NA,NA,NA,NA,474.8998406,"None",474.8998406,"None",477.3510656,"None","space",0.430632117,477.3510656,"None",477.7966829,"None","space",2.91996635,477.7966829,"None",477.7966829,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,0,0,0,0,0,0,2,1,37,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.4816241,"None",NA,NA,NA,NA,NA,NA,481.7925449,"None",481.7925449,"None",485.7396627,"None","space",4.721997872,485.7396627,"None",490.4781202,"None","space",2.991533558,490.4781202,"None",490.4781202,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1.5,1,0,0,0,0,0,2,2,38,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.075945,"None",NA,NA,NA,NA,NA,NA,494.5480046,"None",494.5480046,"None",496.9882714,"None","space",1.010408324,496.9882714,"None",498.0157601,"None","space",3.045934486,498.0157601,"None",498.0157601,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",2.5,0,0,0,0,0,0,2,3,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.1111913,"None",NA,NA,NA,NA,NA,NA,502.1355663,"None",502.1355663,"None",505.5872966,"None","space",0.835394907,505.5872966,"None",506.4387773,"None","space",2.654896,506.4387773,"None",506.4387773,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,1,0,0,0,0,0,2,4,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.1708132,"None",NA,NA,NA,NA,NA,NA,510.1765023,"None",510.1765023,"None",512.1169301,"None","space",0.131751785,512.1169301,"None",512.2592008,"None","space",1.893520261,512.2592008,"None",512.2592008,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,0,1,0,0,0,0,2,5,41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.8152666,"None",NA,NA,NA,NA,NA,NA,515.2386159,"None",515.2386159,"None",519.1702342,"None","space",0.429463525,519.1702342,"None",519.6138385,"None","space",2.183844703,519.6138385,"None",519.6138385,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3.5,0,1,0,0,0,0,2,6,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.2468993,"None",NA,NA,NA,NA,NA,NA,522.8824364,"None",522.8824364,"None",527.3156766,"None","space",2.715987237,527.3156766,"None",530.043101,"None","space",3.193683319,530.043101,"None",530.043101,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",3,1,0,0,0,0,0,2,7,43,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.5345445,"None",NA,NA,NA,NA,NA,NA,534.3039888,"None",534.3039888,"None",538.2566469,"None","space",0.261034299,538.2566469,"None",538.5289657,"None","space",3.99173169,538.5289657,"None",538.5289657,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
"001_visual_demo1.csv","Now focus on the Image",1,0,1,0,0,0,0,2,8,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.7444002,"None",NA,NA,NA,NA,NA,NA,543.6000934,"None",543.6000934,"None",545.5402015,"None","space",0.817592873,545.5402015,"None",546.3736789,"None","space",1.360021262,546.3736789,"None",546.3736789,"None",1,1,"2019_Jun_17_1042","visual_demo1",2002-03-01,99.6825894
