stim_ending_t,visbility,soundvolume,Opening_text,Source.Name,m,sd,coefVar
3,0,1,Now focus on the Sound,020_visual_demo1.csv,2.927283426,0.534228145,0.182499631
3,0,1,Now focus on the Sound,021_visual_demo1.csv,2.26332202,0.539919442,0.238551756
3,1,0,Now focus on the Image,001_visual_demo1.csv,3.592872807,1.271610006,0.353925695
3,1,0,Now focus on the Image,002_visual_demo1.csv,2.893521832,0.508677627,0.175798787
3,1,0,Now focus on the Image,003_visual_demo1.csv,2.429005104,0.461896848,0.190158863
3,1,0,Now focus on the Image,003demo_visual_demo1.csv,1.621111141,0.321582463,0.198371632
3,1,0,Now focus on the Image,004_visual_demo1.csv,2.183250639,0.366890473,0.168047803
3,1,0,Now focus on the Image,005_visual_demo1.csv,1.790563649,0.492171497,0.274869591
3,1,0,Now focus on the Image,006_visual_demo1.csv,1.911358534,0.594850704,0.311218797
3,1,0,Now focus on the Image,007_visual_demo1.csv,3.089429584,0.890684204,0.288300536
3,1,0,Now focus on the Image,008_visual_demo1.csv,2.858116427,0.869922396,0.304369125
3,1,0,Now focus on the Image,009_visual_demo1.csv,2.851616133,0.529189489,0.185575289
3,1,0,Now focus on the Image,010_visual_demo1.csv,2.1268925,0.532150284,0.250200837
3,1,0,Now focus on the Image,011_visual_demo1.csv,2.646982846,0.244182949,0.09224954
3,1,0,Now focus on the Image,012_visual_demo1.csv,2.53878957,0.643328492,0.253399691
3,1,0,Now focus on the Image,013_visual_demo1.csv,2.506557711,0.704079108,0.280894832
3,1,0,Now focus on the Image,014_visual_demo1.csv,2.352327084,0.398722362,0.169501242
3,1,0,Now focus on the Image,015_visual_demo1.csv,2.49345432,0.257688824,0.103346118
3,1,0,Now focus on the Image,016_visual_demo1.csv,1.594376903,0.476836524,0.299073904
3,1,0,Now focus on the Image,017_visual_demo1.csv,3.275191949,0.456690378,0.139439271
3,1,0,Now focus on the Image,019_visual_demo1.csv,2.555203942,0.699980112,0.273942952
3,1,0,Now focus on the Image,020_visual_demo1.csv,3.596517778,0.421512593,0.117200197
3,1,0,Now focus on the Image,021_visual_demo1.csv,1.65072722,0.469028283,0.284134336
3,1,0,Now focus on the Sound,001_visual_demo1.csv,3.39285559,0.655902121,0.193318608
3,1,0,Now focus on the Sound,002_visual_demo1.csv,3.094992527,0.488029423,0.157683555
3,1,0,Now focus on the Sound,003_visual_demo1.csv,2.873589263,0.403055158,0.140261924
3,1,0,Now focus on the Sound,003demo_visual_demo1.csv,2.457597575,0.39096419,0.159083893
3,1,0,Now focus on the Sound,004_visual_demo1.csv,2.407719361,0.439946353,0.182723269
3,1,0,Now focus on the Sound,005_visual_demo1.csv,2.490166782,0.738332952,0.296499398
3,1,0,Now focus on the Sound,006_visual_demo1.csv,1.904192659,0.693603786,0.364250845
3,1,0,Now focus on the Sound,007_visual_demo1.csv,2.99732196,0.752270583,0.250980907
3,1,0,Now focus on the Sound,008_visual_demo1.csv,2.772971896,0.579483186,0.208975499
3,1,0,Now focus on the Sound,009_visual_demo1.csv,3.248426603,0.503154817,0.154891853
3,1,0,Now focus on the Sound,010_visual_demo1.csv,2.290438375,0.372895215,0.162805172
3,1,0,Now focus on the Sound,011_visual_demo1.csv,2.658556086,0.285713284,0.107469346
3,1,0,Now focus on the Sound,012_visual_demo1.csv,2.421704495,0.470199008,0.194160356
3,1,0,Now focus on the Sound,013_visual_demo1.csv,2.54386433,0.35436018,0.139299952
3,1,0,Now focus on the Sound,014_visual_demo1.csv,2.796209242,0.551049099,0.197070051
3,1,0,Now focus on the Sound,015_visual_demo1.csv,2.162929855,0.799666134,0.369714317
3,1,0,Now focus on the Sound,016_visual_demo1.csv,2.051170478,0.656318299,0.319972575
3,1,0,Now focus on the Sound,017_visual_demo1.csv,2.64895285,0.643083399,0.242768911
3,1,0,Now focus on the Sound,019_visual_demo1.csv,2.236776623,1.046792948,0.467991724
3,1,0,Now focus on the Sound,020_visual_demo1.csv,3.790395883,1.114674484,0.294078645
3,1,0,Now focus on the Sound,021_visual_demo1.csv,1.62365656,0.660645435,0.406887424
3.5,0,0,Now focus on the Image,001_visual_demo1.csv,4.067097288,0.537443052,0.132144135
3.5,0,0,Now focus on the Image,002_visual_demo1.csv,3.420190354,0.597856223,0.174802032
3.5,0,0,Now focus on the Image,003_visual_demo1.csv,2.510186591,0.492667493,0.196267279
3.5,0,0,Now focus on the Image,003demo_visual_demo1.csv,2.112456123,0.731466086,0.346263327
3.5,0,0,Now focus on the Image,004_visual_demo1.csv,2.646363304,0.309477618,0.116944494
3.5,0,0,Now focus on the Image,005_visual_demo1.csv,2.226762456,0.670962216,0.301317374
3.5,0,0,Now focus on the Image,006_visual_demo1.csv,1.746800557,0.259281003,0.148431944
3.5,0,0,Now focus on the Image,007_visual_demo1.csv,3.108178812,0.524658457,0.168799316
3.5,0,0,Now focus on the Image,008_visual_demo1.csv,2.67160493,0.439531027,0.16451947
3.5,0,0,Now focus on the Image,009_visual_demo1.csv,3.15792216,0.539256378,0.170763037
3.5,0,0,Now focus on the Image,010_visual_demo1.csv,2.197092384,0.279491235,0.127209596
3.5,0,0,Now focus on the Image,011_visual_demo1.csv,2.630454061,0.304272689,0.115673067
3.5,0,0,Now focus on the Image,012_visual_demo1.csv,2.499714501,0.546891289,0.218781501
3.5,0,0,Now focus on the Image,013_visual_demo1.csv,2.704574584,0.769366975,0.284468759
3.5,0,0,Now focus on the Image,014_visual_demo1.csv,2.436746037,0.539767883,0.221511752
3.5,0,0,Now focus on the Image,015_visual_demo1.csv,2.67479264,0.411484821,0.153838027
3.5,0,0,Now focus on the Image,016_visual_demo1.csv,1.818351806,0.368109343,0.202441212
3.5,0,0,Now focus on the Image,017_visual_demo1.csv,3.36856041,0.591554983,0.17561062
3.5,0,0,Now focus on the Image,019_visual_demo1.csv,3.514315791,0.734528084,0.209010268
3.5,0,0,Now focus on the Image,020_visual_demo1.csv,4.079871499,0.915280238,0.224340457
3.5,0,0,Now focus on the Image,021_visual_demo1.csv,2.11390222,0.41387933,0.19578925
3.5,0,0,Now focus on the Sound,001_visual_demo1.csv,3.144815042,0.50332396,0.160048827
3.5,0,0,Now focus on the Sound,002_visual_demo1.csv,3.335547834,0.43747474,0.131155289
3.5,0,0,Now focus on the Sound,003_visual_demo1.csv,3.162230003,0.652366145,0.206299398
3.5,0,0,Now focus on the Sound,003demo_visual_demo1.csv,2.641737394,0.221771327,0.083949043
3.5,0,0,Now focus on the Sound,004_visual_demo1.csv,2.830565933,0.319700826,0.112945903
3.5,0,0,Now focus on the Sound,005_visual_demo1.csv,2.49612166,0.517974107,0.207511563
3.5,0,0,Now focus on the Sound,006_visual_demo1.csv,2.0488798,0.383826521,0.187334817
3.5,0,0,Now focus on the Sound,007_visual_demo1.csv,3.471869522,0.569723603,0.164097066
3.5,0,0,Now focus on the Sound,008_visual_demo1.csv,2.747773004,0.549527716,0.199990216
3.5,0,0,Now focus on the Sound,009_visual_demo1.csv,3.551753799,0.529527028,0.149088889
3.5,0,0,Now focus on the Sound,010_visual_demo1.csv,2.576334524,0.342233055,0.132837196
3.5,0,0,Now focus on the Sound,011_visual_demo1.csv,3.051877113,0.244463335,0.080102614
3.5,0,0,Now focus on the Sound,012_visual_demo1.csv,2.867131111,0.582230637,0.20307081
3.5,0,0,Now focus on the Sound,013_visual_demo1.csv,2.782670485,0.4071845,0.146328681
3.5,0,0,Now focus on the Sound,014_visual_demo1.csv,2.868427815,0.373183644,0.130100413
3.5,0,0,Now focus on the Sound,015_visual_demo1.csv,2.692386236,0.262138861,0.097363022
3.5,0,0,Now focus on the Sound,016_visual_demo1.csv,2.239213017,0.940388216,0.419963714
3.5,0,0,Now focus on the Sound,017_visual_demo1.csv,3.231337019,0.630361674,0.195077663
3.5,0,0,Now focus on the Sound,019_visual_demo1.csv,3.267787919,0.793511405,0.242828306
3.5,0,0,Now focus on the Sound,020_visual_demo1.csv,3.598109873,1.029309982,0.286069636
3.5,0,0,Now focus on the Sound,021_visual_demo1.csv,1.97544965,0.450374888,0.227986012
